Link,Brand,Model,Laptop Series,Part No,Processor Brand,Processor Type,Processor Model,Processor Core,RAM,RAM Type,HDD RPM,Installed SSD Type,Graphics Chipset,Graphics Memory Accessibility,Graphics Memory,Display Size (Inch),Display Type,Display Resolution,Touch Screen,Optical Drive,HDMI Port,LAN,Finger Print Sensor,Operating System,Color,Weight (Kg),Power Adapter,Warranty,Country Of Origin
https://www.ryans.com/chuwi-corebook-xpro-intel-core-i3-1215u-15.6-inch-fhd-display-grey-laptop,Chuwi,Chuwi CoreBook XPro,CoreBook,Not Found,Intel,Not Found,Core i3 1215U,6,16GB,DDR4,No HDD,NVMe PCIe,Intel Iris Plus Graphics 655,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,Yes,No,Win-11 Home,Gray,1. 7 kg,Not Found,2 Year,China
https://www.ryans.com/lenovo-ideapad-1-14amn7-amd-ryzen-5-7520u-14-inch-fhd-display-cloud-grey-laptop,Lenovo,Lenovo IdeaPad 1 14AMN7,IdeaPad,82VF004DIN,AMD,Not Found,Ryzen 5 7520U,4,8GB,DDR5,No HDD,NVMe PCIe,AMD Radeon 610M Graphics,Integrated,Shared,14,FHD LED Display,1920x1080,No,No,1,No,No,Free-Dos,Cloud Grey,1.38 kg,65W,2 Year,China
https://www.ryans.com/huawei-matebook-d-15-11th-gen-intel-core-i3-1115g4-15.6-inch-fhd-display-silver-laptop,Huawei,Huawei MateBook D 15,MateBook,Not Found,Intel,Not Found,Core i3 1115G4,2,8GB,DDR4,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD IPS LED Display,1920x1080,No,No,1,No,Yes,Win-11 Home,Silver,1.53 kg,Not Found,2 Year,China
https://www.ryans.com/infinix-inbook-x2-intel-core-i5-1155g7-8gb-ram-512gb-ssd14-inch-fhd-display-grey-laptop,Infinix,Infinix INBOOK X2,INBOOK,Not Found,Intel,Not Found,Core i5 1155G7,4,8GB,LPDDR4x,No HDD,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,14,FHD LED Display,1920x1080,No,No,1,No,No,Win-11 Home,Gray,1.24 kg,65W,2 Year,China
https://www.ryans.com/asus-vivobook-15-x1500ea-intel-core-i3-1115g4-8gb-ram-1tb-hdd-plus-256gb-ssd-15.6-inch-fhd-display-indie-black-laptop,Asus,Asus VivoBook 15 X1500EA,VivoBook,BQ2456WN-X1500EA,Intel,Not Found,Core i3 1115G4,2,8GB,DDR4,5400 RPM,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,No,No,Win-11 Home,Indie Black,1.80 kg,45W,2 Year,Taiwan
https://www.ryans.com/asus-vivobook-15-k513ea-intel-core-i3-1115g4-15.6-inch-fhd-oled-display-hearty-gold-laptop,Asus,Asus VivoBook 15 K513EA,VivoBook,L13489W-K513EA,Intel,Not Found,Core i3 1115G4,2,4GB,DDR4,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD OLED Display,1920x1080,No,No,1,No,Yes,Win-11 Home,Hearty Gold,1.80 kg,65W AC Adapter,2 Year,Taiwan
https://www.ryans.com/lenovo-ideapad-slim-3i-15iru8-intel-core-i3-1305u-8gb-ram-256gb-ssd-15.6-inch-fhd-antiglare-display-abyss-blue-laptop,Lenovo,Lenovo IdeaPad Slim 3i 15IRU8,IdeaPad,82X7003PLK,Intel,Not Found,Core i3 1305U,5,8GB,DDR5,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,No,No,Win-11 Home,Abyss Blue,1.62 kg,65W,2 Year,China
https://www.ryans.com/hp-15s-fq5786tu-intel-core-i3-1215u15.6-inch-fhd-display-silver-laptop,HP,HP 15s-fq5786TU,15s,681P9PA,Intel,Not Found,Core i3 1215U,6,8GB,DDR4,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,No,No,Win-11 Home,Silver,Not Found,45W,2 Year,USA
https://www.ryans.com/asus-vivobook-15-x1502za-intel-core-i3-1215u-15.6-inch-fhd-display-terra-cotta-laptop,Asus,Asus VivoBook 15 X1502ZA,VivoBook,X1502ZA-EJ675W,Intel,Not Found,Core i3 1215U,6,4GB,DDR4,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,No,No,Win-11 Home,Terra Cotta,1.70 kg,45W,2 Year,Taiwan
https://www.ryans.com/asus-vivobook-s15-s513ea-intel-core-i3-1115g4-8gb-ram-512gb-ssd-15.6-inch-fhd-oled-display-indie-black-laptop,Asus,Asus VivoBook S15 S513EA,VivoBook,S513EA-L13199WN,Intel,Not Found,Core i3 1115G4,2,8GB,DDR4,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD OLED Display,1920x1080,No,No,1,No,Yes,Win-11 Home,Indie Black,1.80 kg,65W,2 Year,Taiwan
https://www.ryans.com/asus-vivobook-15-x1504va-intel-core-i3-1315u-8gb-ram-512gb-ssd-15.6-inch-fhd-display-quiet-blue-laptop,Asus,ASUS Vivobook 15 X1504VA,Vivobook,X1504VA-NJ260WN,Intel,Not Found,Core i3 1315U,6,8GB,DDR4,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,No,Yes,Win-11 Home,Quiet Blue,1.70 kg,45W,2 Year,Taiwan
https://www.ryans.com/dell-latitude-3430-intel-core-i3-1215u-8gb-ddr4-512gb-ssd-14-inch-fhd-display-black-laptop,Dell,Dell Latitude 3430,Latitude,Not Found,Intel,Not Found,Core i3 1215U,6,8GB,DDR4,No HDD,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,14,FHD LED Display,1920x1080,No,No,1,Yes,No,Free-Dos,Black,1.53 kg,65W,3 Year,USA
https://www.ryans.com/dell-inspiron-15-3530-13th-gen-intel-core-i3-1305u-8gb-ram-512gb-ssd-15.6-inch-fhd-display-carbon-black-laptop,Dell,Dell Inspiron 15 3530,Inspiron,IN3530V84RM001OGDDD,Intel,Not Found,Core i3 1305U,5,8GB,DDR4,No HDD,NVMe PCIe,Intel(R) UHD Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,No,1,Yes,No,Win-11 Home,Carbon Black,1.62 kg,Not Found,2 Year,USA
https://www.ryans.com/hp-240-g8-intel-1135g7-14-inch-fhd-display-ash-laptop,HP,HP 240 G8,ProBook,5C135PA,Intel,Not Found,Core i5 1135G7,4,8GB,DDR4,5400RPM,No,Intel Iris Xe Graphics,Integrated,Shared,14,FHD LED Display,1920x1080,No,No,1,Yes,No,Win-11 Home,Ash,1.47 kg,45W,3 Year,USA
